	平均点,	　数学　,	　理科　,	　社会　,	　国語　,	　英語　
		50.973 ,	50.831 ,	50.897 ,	51.035 ,	50.155

	順位,	番号,	数学,	理科,	社会,	国語,	英語,	総合
	16829 ,	19555 ,	74 ,	29 ,	51 ,	12 ,	21 ,	187
	16829 ,	605 ,	63 ,	62 ,	13 ,	9 ,	40 ,	187
	16829 ,	18982 ,	33 ,	56 ,	64 ,	25 ,	9 ,	187
	16829 ,	18786 ,	12 ,	35 ,	11 ,	97 ,	32 ,	187
	16829 ,	1166 ,	55 ,	27 ,	10 ,	67 ,	28 ,	187
	16829 ,	18286 ,	9 ,	64 ,	36 ,	67 ,	11 ,	187
	16829 ,	9065 ,	61 ,	13 ,	9 ,	36 ,	68 ,	187
	16829 ,	17480 ,	100 ,	38 ,	0 ,	24 ,	25 ,	187
	16829 ,	17143 ,	43 ,	18 ,	76 ,	10 ,	40 ,	187
	16829 ,	4268 ,	61 ,	0 ,	11 ,	36 ,	79 ,	187
	16829 ,	4260 ,	64 ,	59 ,	11 ,	4 ,	49 ,	187
	16829 ,	2136 ,	74 ,	17 ,	64 ,	29 ,	3 ,	187
	16829 ,	16846 ,	25 ,	57 ,	42 ,	5 ,	58 ,	187
	16829 ,	16618 ,	23 ,	38 ,	87 ,	4 ,	35 ,	187
	16829 ,	4148 ,	73 ,	4 ,	71 ,	5 ,	34 ,	187
	16829 ,	1032 ,	84 ,	13 ,	8 ,	9 ,	73 ,	187
	16897 ,	4079 ,	51 ,	40 ,	49 ,	19 ,	27 ,	186
	16897 ,	16241 ,	66 ,	20 ,	33 ,	47 ,	20 ,	186
	16897 ,	8087 ,	42 ,	5 ,	80 ,	49 ,	10 ,	186
	16897 ,	16156 ,	29 ,	0 ,	73 ,	57 ,	27 ,	186
	16897 ,	4026 ,	30 ,	32 ,	14 ,	68 ,	42 ,	186
	16897 ,	16046 ,	10 ,	10 ,	62 ,	13 ,	91 ,	186
	16897 ,	15874 ,	15 ,	0 ,	14 ,	96 ,	61 ,	186
	16897 ,	15715 ,	28 ,	76 ,	23 ,	30 ,	29 ,	186
	16897 ,	1960 ,	30 ,	18 ,	96 ,	24 ,	18 ,	186
	16897 ,	7820 ,	28 ,	33 ,	60 ,	24 ,	41 ,	186
	16897 ,	15443 ,	29 ,	3 ,	19 ,	72 ,	63 ,	186
	16897 ,	15412 ,	0 ,	13 ,	85 ,	86 ,	2 ,	186
	16897 ,	1876 ,	19 ,	72 ,	15 ,	50 ,	30 ,	186
	16897 ,	3750 ,	73 ,	33 ,	44 ,	0 ,	36 ,	186
	16897 ,	14831 ,	50 ,	35 ,	17 ,	23 ,	61 ,	186
	16897 ,	1843 ,	46 ,	28 ,	57 ,	40 ,	15 ,	186
	16897 ,	7328 ,	5 ,	12 ,	91 ,	10 ,	68 ,	186
	16897 ,	7290 ,	60 ,	24 ,	63 ,	0 ,	39 ,	186
	16897 ,	14230 ,	72 ,	51 ,	18 ,	14 ,	31 ,	186
	16897 ,	14217 ,	51 ,	32 ,	50 ,	41 ,	12 ,	186
	16897 ,	1754 ,	57 ,	42 ,	51 ,	16 ,	20 ,	186
	16897 ,	6916 ,	55 ,	10 ,	27 ,	33 ,	61 ,	186
	16897 ,	13826 ,	20 ,	24 ,	62 ,	19 ,	61 ,	186
	16897 ,	6898 ,	72 ,	8 ,	9 ,	88 ,	9 ,	186
	16897 ,	6756 ,	43 ,	11 ,	74 ,	55 ,	3 ,	186
	16897 ,	1655 ,	18 ,	42 ,	49 ,	17 ,	60 ,	186
	16897 ,	3309 ,	37 ,	17 ,	55 ,	77 ,	0 ,	186
	16897 ,	13139 ,	16 ,	5 ,	68 ,	6 ,	91 ,	186
	16897 ,	6542 ,	13 ,	50 ,	46 ,	69 ,	8 ,	186
	16897 ,	12949 ,	48 ,	11 ,	39 ,	3 ,	85 ,	186
	16897 ,	12600 ,	21 ,	60 ,	12 ,	71 ,	22 ,	186
	16897 ,	1550 ,	79 ,	35 ,	12 ,	4 ,	56 ,	186
	16897 ,	12016 ,	4 ,	26 ,	44 ,	40 ,	72 ,	186
	16897 ,	3006 ,	50 ,	17 ,	19 ,	11 ,	89 ,	186
	16897 ,	5632 ,	31 ,	44 ,	16 ,	33 ,	62 ,	186
	16897 ,	1405 ,	61 ,	44 ,	23 ,	29 ,	29 ,	186
	16897 ,	11231 ,	36 ,	0 ,	63 ,	54 ,	33 ,	186
	16897 ,	11212 ,	14 ,	49 ,	14 ,	58 ,	51 ,	186
	16897 ,	11062 ,	69 ,	25 ,	30 ,	42 ,	20 ,	186
	16897 ,	5468 ,	23 ,	30 ,	36 ,	20 ,	77 ,	186
	16897 ,	5378 ,	6 ,	7 ,	60 ,	23 ,	90 ,	186
	16897 ,	10226 ,	54 ,	31 ,	73 ,	5 ,	23 ,	186
	16897 ,	10195 ,	10 ,	52 ,	33 ,	40 ,	51 ,	186
	16897 ,	159 ,	0 ,	5 ,	70 ,	96 ,	15 ,	186
	16897 ,	2504 ,	8 ,	17 ,	95 ,	15 ,	51 ,	186
	16897 ,	5002 ,	100 ,	18 ,	8 ,	5 ,	55 ,	186
	16897 ,	19888 ,	21 ,	0 ,	78 ,	45 ,	42 ,	186
	16897 ,	9757 ,	22 ,	36 ,	65 ,	35 ,	28 ,	186
	16897 ,	19396 ,	15 ,	26 ,	51 ,	39 ,	55 ,	186
	16897 ,	9671 ,	48 ,	60 ,	11 ,	31 ,	36 ,	186
	16897 ,	19325 ,	62 ,	60 ,	10 ,	48 ,	6 ,	186
	16897 ,	9606 ,	20 ,	29 ,	53 ,	43 ,	41 ,	186
	16897 ,	19170 ,	16 ,	18 ,	88 ,	46 ,	18 ,	186
	16897 ,	4788 ,	15 ,	3 ,	71 ,	39 ,	58 ,	186
	16897 ,	9528 ,	45 ,	16 ,	14 ,	70 ,	41 ,	186
	16897 ,	2379 ,	92 ,	35 ,	12 ,	25 ,	22 ,	186
	16897 ,	19023 ,	3 ,	53 ,	88 ,	33 ,	9 ,	186
	16897 ,	9499 ,	58 ,	67 ,	22 ,	27 ,	12 ,	186
	16897 ,	18449 ,	21 ,	36 ,	42 ,	40 ,	47 ,	186
	16897 ,	4559 ,	63 ,	23 ,	22 ,	37 ,	41 ,	186
	16897 ,	1124 ,	27 ,	28 ,	0 ,	65 ,	66 ,	186
	16897 ,	18012 ,	51 ,	11 ,	11 ,	48 ,	65 ,	186
	16897 ,	8959 ,	18 ,	33 ,	21 ,	25 ,	89 ,	186
	16897 ,	17685 ,	5 ,	79 ,	85 ,	6 ,	11 ,	186
	16897 ,	8732 ,	72 ,	9 ,	16 ,	31 ,	58 ,	186
	16897 ,	17463 ,	70 ,	21 ,	50 ,	24 ,	21 ,	186
	16897 ,	17407 ,	54 ,	48 ,	7 ,	49 ,	28 ,	186
	16897 ,	1085 ,	56 ,	78 ,	33 ,	16 ,	3 ,	186
	16897 ,	17238 ,	14 ,	37 ,	92 ,	11 ,	32 ,	186
	16897 ,	4213 ,	40 ,	96 ,	8 ,	8 ,	34 ,	186
	16897 ,	8296 ,	8 ,	39 ,	28 ,	12 ,	99 ,	186
	16968 ,	2042 ,	56 ,	52 ,	52 ,	19 ,	6 ,	185
	16968 ,	8157 ,	58 ,	34 ,	17 ,	69 ,	7 ,	185
	16968 ,	16118 ,	6 ,	24 ,	88 ,	14 ,	53 ,	185
	16968 ,	2010 ,	42 ,	27 ,	6 ,	17 ,	93 ,	185
	16968 ,	8021 ,	4 ,	34 ,	32 ,	71 ,	44 ,	185
	16968 ,	1979 ,	26 ,	28 ,	55 ,	13 ,	63 ,	185
	16968 ,	15733 ,	55 ,	3 ,	32 ,	72 ,	23 ,	185
	16968 ,	3921 ,	61 ,	7 ,	55 ,	47 ,	15 ,	185
	16968 ,	7717 ,	34 ,	0 ,	20 ,	81 ,	50 ,	185
	16968 ,	15422 ,	10 ,	16 ,	80 ,	42 ,	37 ,	185
	16968 ,	952 ,	35 ,	15 ,	0 ,	88 ,	47 ,	185
	16968 ,	15221 ,	28 ,	28 ,	27 ,	96 ,	6 ,	185
	16968 ,	15023 ,	12 ,	6 ,	27 ,	66 ,	74 ,	185
	16968 ,	14789 ,	81 ,	16 ,	7 ,	25 ,	56 ,	185
	16968 ,	14645 ,	46 ,	93 ,	22 ,	10 ,	14 ,	185
	16968 ,	7274 ,	23 ,	49 ,	23 ,	31 ,	59 ,	185
	16968 ,	3609 ,	36 ,	69 ,	17 ,	47 ,	16 ,	185
	16968 ,	14356 ,	38 ,	70 ,	56 ,	21 ,	0 ,	185
	16968 ,	1797 ,	42 ,	56 ,	57 ,	27 ,	3 ,	185
	16968 ,	14343 ,	18 ,	19 ,	87 ,	55 ,	6 ,	185
	16968 ,	14064 ,	38 ,	88 ,	4 ,	41 ,	14 ,	185
	16968 ,	13962 ,	5 ,	6 ,	56 ,	19 ,	99 ,	185
	16968 ,	13923 ,	30 ,	39 ,	73 ,	8 ,	35 ,	185
	16968 ,	6948 ,	24 ,	37 ,	20 ,	73 ,	31 ,	185
	16968 ,	1723 ,	45 ,	4 ,	25 ,	49 ,	62 ,	185
	16968 ,	13803 ,	12 ,	39 ,	85 ,	10 ,	39 ,	185
	16968 ,	13764 ,	29 ,	25 ,	26 ,	25 ,	80 ,	185
	16968 ,	13612 ,	8 ,	54 ,	17 ,	39 ,	67 ,	185
	16968 ,	13450 ,	14 ,	15 ,	13 ,	70 ,	73 ,	185
	16968 ,	1648 ,	80 ,	6 ,	21 ,	68 ,	10 ,	185
	16968 ,	6562 ,	23 ,	40 ,	31 ,	7 ,	84 ,	185
	16968 ,	12923 ,	82 ,	8 ,	71 ,	12 ,	12 ,	185
	16968 ,	12815 ,	25 ,	45 ,	16 ,	61 ,	38 ,	185
	16968 ,	12805 ,	48 ,	35 ,	0 ,	15 ,	87 ,	185
	16968 ,	1588 ,	47 ,	12 ,	74 ,	23 ,	29 ,	185
	16968 ,	12601 ,	36 ,	64 ,	28 ,	44 ,	13 ,	185
	16968 ,	12315 ,	37 ,	13 ,	39 ,	62 ,	34 ,	185
	16968 ,	5872 ,	6 ,	94 ,	31 ,	32 ,	22 ,	185
	16968 ,	11535 ,	77 ,	7 ,	49 ,	28 ,	24 ,	185
	16968 ,	2579 ,	66 ,	63 ,	22 ,	28 ,	6 ,	185
	16968 ,	10207 ,	9 ,	10 ,	61 ,	55 ,	50 ,	185
	16968 ,	2540 ,	30 ,	32 ,	44 ,	34 ,	45 ,	185
	16968 ,	315 ,	33 ,	100 ,	11 ,	21 ,	20 ,	185
	16968 ,	10085 ,	10 ,	14 ,	71 ,	72 ,	18 ,	185
	16968 ,	5015 ,	11 ,	19 ,	71 ,	74 ,	10 ,	185
	16968 ,	2452 ,	13 ,	33 ,	62 ,	77 ,	0 ,	185
	16968 ,	9801 ,	33 ,	81 ,	4 ,	13 ,	54 ,	185
	16968 ,	4839 ,	9 ,	67 ,	18 ,	17 ,	74 ,	185
	16968 ,	19288 ,	65 ,	27 ,	41 ,	14 ,	38 ,	185
	16968 ,	19212 ,	51 ,	72 ,	17 ,	25 ,	20 ,	185
	16968 ,	18964 ,	32 ,	55 ,	78 ,	6 ,	14 ,	185
	16968 ,	18819 ,	37 ,	30 ,	42 ,	76 ,	0 ,	185
	16968 ,	9167 ,	4 ,	27 ,	20 ,	37 ,	97 ,	185
	16968 ,	18290 ,	47 ,	21 ,	50 ,	61 ,	6 ,	185
	16968 ,	9130 ,	25 ,	69 ,	3 ,	10 ,	78 ,	185
	16968 ,	9063 ,	14 ,	3 ,	73 ,	15 ,	80 ,	185
	16968 ,	9027 ,	47 ,	15 ,	92 ,	9 ,	22 ,	185
	16968 ,	4503 ,	55 ,	26 ,	38 ,	65 ,	1 ,	185
	16968 ,	8996 ,	60 ,	14 ,	48 ,	39 ,	24 ,	185
	16968 ,	8961 ,	65 ,	3 ,	17 ,	30 ,	70 ,	185
	16968 ,	4485 ,	32 ,	63 ,	48 ,	37 ,	5 ,	185
	16968 ,	4421 ,	34 ,	32 ,	0 ,	78 ,	41 ,	185
	16968 ,	8734 ,	3 ,	92 ,	68 ,	21 ,	1 ,	185
	16968 ,	8701 ,	11 ,	53 ,	55 ,	39 ,	27 ,	185
	16968 ,	8664 ,	7 ,	49 ,	37 ,	7 ,	85 ,	185
	16968 ,	4212 ,	47 ,	5 ,	5 ,	28 ,	100 ,	185
	17034 ,	8128 ,	25 ,	44 ,	19 ,	18 ,	78 ,	184
	17034 ,	3928 ,	52 ,	42 ,	0 ,	67 ,	23 ,	184
	17034 ,	7867 ,	95 ,	6 ,	0 ,	42 ,	41 ,	184
	17034 ,	7830 ,	44 ,	52 ,	34 ,	47 ,	7 ,	184
	17034 ,	15630 ,	38 ,	71 ,	16 ,	59 ,	0 ,	184
	17034 ,	15514 ,	0 ,	12 ,	46 ,	91 ,	35 ,	184
	17034 ,	15454 ,	51 ,	13 ,	63 ,	35 ,	22 ,	184
	17034 ,	15451 ,	10 ,	23 ,	60 ,	58 ,	33 ,	184
	17034 ,	15324 ,	20 ,	12 ,	41 ,	38 ,	73 ,	184
	17034 ,	15187 ,	94 ,	13 ,	7 ,	20 ,	50 ,	184
	17034 ,	14658 ,	39 ,	21 ,	58 ,	45 ,	21 ,	184
	17034 ,	14408 ,	13 ,	35 ,	91 ,	30 ,	15 ,	184
	17034 ,	14258 ,	25 ,	30 ,	9 ,	96 ,	24 ,	184
	17034 ,	14173 ,	56 ,	13 ,	47 ,	36 ,	32 ,	184
	17034 ,	872 ,	18 ,	41 ,	64 ,	19 ,	42 ,	184
	17034 ,	13925 ,	57 ,	0 ,	26 ,	45 ,	56 ,	184
	17034 ,	870 ,	31 ,	85 ,	20 ,	9 ,	39 ,	184
	17034 ,	13598 ,	31 ,	50 ,	72 ,	16 ,	15 ,	184
	17034 ,	13570 ,	71 ,	37 ,	18 ,	47 ,	11 ,	184
	17034 ,	6701 ,	10 ,	34 ,	56 ,	38 ,	46 ,	184
	17034 ,	13385 ,	25 ,	37 ,	70 ,	32 ,	20 ,	184
	17034 ,	6656 ,	36 ,	17 ,	9 ,	36 ,	86 ,	184
	17034 ,	3326 ,	30 ,	45 ,	24 ,	76 ,	9 ,	184
	17034 ,	3257 ,	24 ,	43 ,	30 ,	82 ,	5 ,	184
	17034 ,	6498 ,	16 ,	32 ,	8 ,	36 ,	92 ,	184
	17034 ,	12862 ,	68 ,	20 ,	17 ,	77 ,	2 ,	184
	17034 ,	3202 ,	29 ,	73 ,	20 ,	54 ,	8 ,	184
	17034 ,	6369 ,	88 ,	12 ,	21 ,	53 ,	10 ,	184
	17034 ,	12538 ,	27 ,	16 ,	10 ,	46 ,	85 ,	184
	17034 ,	6184 ,	37 ,	67 ,	36 ,	15 ,	29 ,	184
	17034 ,	6156 ,	30 ,	49 ,	11 ,	7 ,	87 ,	184
	17034 ,	6085 ,	5 ,	18 ,	22 ,	46 ,	93 ,	184
	17034 ,	741 ,	19 ,	43 ,	39 ,	64 ,	19 ,	184
	17034 ,	11665 ,	8 ,	13 ,	77 ,	14 ,	72 ,	184
	17034 ,	5776 ,	15 ,	60 ,	11 ,	48 ,	50 ,	184
	17034 ,	5762 ,	54 ,	47 ,	15 ,	9 ,	59 ,	184
	17034 ,	5637 ,	57 ,	19 ,	19 ,	7 ,	82 ,	184
	17034 ,	697 ,	84 ,	3 ,	36 ,	37 ,	24 ,	184
	17034 ,	2755 ,	33 ,	40 ,	66 ,	10 ,	35 ,	184
	17034 ,	2742 ,	80 ,	29 ,	26 ,	19 ,	30 ,	184
	17034 ,	10802 ,	14 ,	63 ,	10 ,	17 ,	80 ,	184
	17034 ,	339 ,	80 ,	10 ,	32 ,	40 ,	22 ,	184
	17034 ,	10632 ,	27 ,	33 ,	61 ,	32 ,	31 ,	184
	17034 ,	5305 ,	61 ,	20 ,	31 ,	45 ,	27 ,	184
	17034 ,	5250 ,	76 ,	57 ,	23 ,	16 ,	12 ,	184
	17034 ,	10462 ,	8 ,	51 ,	48 ,	3 ,	74 ,	184
	17034 ,	5178 ,	25 ,	27 ,	6 ,	69 ,	57 ,	184
	17034 ,	10246 ,	3 ,	71 ,	6 ,	32 ,	72 ,	184
	17034 ,	10190 ,	26 ,	26 ,	79 ,	24 ,	29 ,	184
	17034 ,	1269 ,	60 ,	15 ,	48 ,	35 ,	26 ,	184
	17034 ,	19598 ,	69 ,	33 ,	16 ,	47 ,	19 ,	184
	17034 ,	19352 ,	31 ,	31 ,	21 ,	5 ,	96 ,	184
	17034 ,	19038 ,	73 ,	12 ,	67 ,	24 ,	8 ,	184
	17034 ,	19033 ,	25 ,	74 ,	15 ,	41 ,	29 ,	184
	17034 ,	2382 ,	0 ,	6 ,	38 ,	44 ,	96 ,	184
	17034 ,	1178 ,	4 ,	96 ,	27 ,	9 ,	48 ,	184
	17034 ,	18618 ,	22 ,	86 ,	28 ,	22 ,	26 ,	184
	17034 ,	18359 ,	37 ,	36 ,	17 ,	76 ,	18 ,	184
	17034 ,	9064 ,	32 ,	18 ,	80 ,	54 ,	0 ,	184
	17034 ,	18127 ,	65 ,	35 ,	66 ,	14 ,	4 ,	184
	17034 ,	4531 ,	26 ,	53 ,	57 ,	27 ,	21 ,	184
	17034 ,	8991 ,	10 ,	22 ,	78 ,	60 ,	14 ,	184
	17034 ,	8914 ,	7 ,	36 ,	44 ,	88 ,	9 ,	184
	17034 ,	553 ,	19 ,	73 ,	22 ,	31 ,	39 ,	184
	17034 ,	8749 ,	26 ,	86 ,	50 ,	17 ,	5 ,	184
	17034 ,	17488 ,	76 ,	53 ,	11 ,	16 ,	28 ,	184
	17034 ,	2168 ,	8 ,	30 ,	16 ,	69 ,	61 ,	184
	17034 ,	17258 ,	29 ,	89 ,	24 ,	38 ,	4 ,	184
	17034 ,	8631 ,	14 ,	16 ,	74 ,	7 ,	73 ,	184
	17034 ,	8625 ,	51 ,	33 ,	54 ,	28 ,	18 ,	184
	17034 ,	17211 ,	36 ,	5 ,	97 ,	4 ,	42 ,	184
	17034 ,	17095 ,	10 ,	89 ,	68 ,	5 ,	12 ,	184
	17034 ,	16994 ,	65 ,	33 ,	16 ,	58 ,	12 ,	184
	17034 ,	1060 ,	43 ,	7 ,	46 ,	81 ,	7 ,	184
	17034 ,	4160 ,	30 ,	48 ,	26 ,	23 ,	57 ,	184
	17034 ,	16569 ,	37 ,	80 ,	28 ,	31 ,	8 ,	184
	17034 ,	16481 ,	33 ,	6 ,	66 ,	54 ,	25 ,	184
	17111 ,	16242 ,	73 ,	22 ,	12 ,	11 ,	65 ,	183
	17111 ,	8033 ,	23 ,	27 ,	3 ,	39 ,	91 ,	183
	17111 ,	8019 ,	29 ,	8 ,	33 ,	43 ,	70 ,	183
	17111 ,	7926 ,	3 ,	35 ,	84 ,	28 ,	33 ,	183
	17111 ,	3925 ,	12 ,	3 ,	73 ,	68 ,	27 ,	183
	17111 ,	3853 ,	42 ,	6 ,	98 ,	4 ,	33 ,	183
	17111 ,	1922 ,	17 ,	8 ,	48 ,	35 ,	75 ,	183
	17111 ,	15275 ,	36 ,	69 ,	14 ,	7 ,	57 ,	183
	17111 ,	3795 ,	27 ,	26 ,	33 ,	24 ,	73 ,	183
	17111 ,	15059 ,	17 ,	58 ,	54 ,	40 ,	14 ,	183
	17111 ,	1853 ,	30 ,	46 ,	26 ,	55 ,	26 ,	183
	17111 ,	14790 ,	67 ,	10 ,	15 ,	40 ,	51 ,	183
	17111 ,	1793 ,	29 ,	4 ,	52 ,	67 ,	31 ,	183
	17111 ,	14267 ,	13 ,	50 ,	88 ,	32 ,	0 ,	183
	17111 ,	3534 ,	10 ,	49 ,	13 ,	61 ,	50 ,	183
	17111 ,	14038 ,	51 ,	42 ,	13 ,	0 ,	77 ,	183
	17111 ,	13372 ,	58 ,	12 ,	14 ,	72 ,	27 ,	183
	17111 ,	6660 ,	7 ,	89 ,	45 ,	22 ,	20 ,	183
	17111 ,	12745 ,	9 ,	51 ,	11 ,	56 ,	56 ,	183
	17111 ,	12389 ,	79 ,	21 ,	33 ,	33 ,	17 ,	183
	17111 ,	12343 ,	14 ,	25 ,	37 ,	64 ,	43 ,	183
	17111 ,	3080 ,	65 ,	7 ,	25 ,	35 ,	51 ,	183
	17111 ,	12323 ,	79 ,	19 ,	46 ,	6 ,	33 ,	183
	17111 ,	11990 ,	94 ,	8 ,	19 ,	3 ,	59 ,	183
	17111 ,	11592 ,	0 ,	32 ,	50 ,	60 ,	41 ,	183
	17111 ,	5775 ,	75 ,	7 ,	5 ,	54 ,	42 ,	183
	17111 ,	11522 ,	3 ,	5 ,	50 ,	77 ,	48 ,	183
	17111 ,	11482 ,	38 ,	31 ,	93 ,	4 ,	17 ,	183
	17111 ,	11391 ,	12 ,	32 ,	22 ,	85 ,	32 ,	183
	17111 ,	2843 ,	52 ,	14 ,	32 ,	81 ,	4 ,	183
	17111 ,	11335 ,	19 ,	4 ,	44 ,	41 ,	75 ,	183
	17111 ,	11328 ,	32 ,	92 ,	19 ,	36 ,	4 ,	183
	17111 ,	5605 ,	14 ,	20 ,	69 ,	72 ,	8 ,	183
	17111 ,	2786 ,	11 ,	32 ,	50 ,	63 ,	27 ,	183
	17111 ,	341 ,	26 ,	52 ,	9 ,	5 ,	91 ,	183
	17111 ,	10854 ,	18 ,	28 ,	72 ,	3 ,	62 ,	183
	17111 ,	10505 ,	0 ,	10 ,	12 ,	70 ,	91 ,	183
	17111 ,	9980 ,	59 ,	9 ,	65 ,	25 ,	25 ,	183
	17111 ,	19960 ,	64 ,	10 ,	15 ,	33 ,	61 ,	183
	17111 ,	2461 ,	21 ,	51 ,	19 ,	15 ,	77 ,	183
	17111 ,	19642 ,	60 ,	23 ,	0 ,	61 ,	39 ,	183
	17111 ,	9802 ,	3 ,	15 ,	63 ,	48 ,	54 ,	183
	17111 ,	9674 ,	4 ,	39 ,	30 ,	84 ,	26 ,	183
	17111 ,	301 ,	6 ,	60 ,	9 ,	45 ,	63 ,	183
	17111 ,	1185 ,	7 ,	72 ,	15 ,	74 ,	15 ,	183
	17111 ,	9463 ,	5 ,	88 ,	73 ,	11 ,	6 ,	183
	17111 ,	4696 ,	44 ,	0 ,	90 ,	46 ,	3 ,	183
	17111 ,	4665 ,	40 ,	37 ,	14 ,	77 ,	15 ,	183
	17111 ,	18655 ,	30 ,	16 ,	48 ,	22 ,	67 ,	183
	17111 ,	18624 ,	20 ,	10 ,	36 ,	38 ,	79 ,	183
	17111 ,	2315 ,	21 ,	60 ,	4 ,	8 ,	90 ,	183
	17111 ,	9222 ,	20 ,	70 ,	8 ,	29 ,	56 ,	183
	17111 ,	18362 ,	7 ,	50 ,	3 ,	53 ,	70 ,	183
	17111 ,	18098 ,	41 ,	14 ,	22 ,	51 ,	55 ,	183
	17111 ,	17767 ,	12 ,	26 ,	40 ,	51 ,	54 ,	183
	17111 ,	4374 ,	43 ,	29 ,	17 ,	13 ,	81 ,	183
	17111 ,	8532 ,	7 ,	81 ,	26 ,	16 ,	53 ,	183
	17111 ,	8501 ,	22 ,	34 ,	8 ,	61 ,	58 ,	183
	17111 ,	16984 ,	6 ,	29 ,	9 ,	75 ,	64 ,	183
	17111 ,	16828 ,	30 ,	17 ,	32 ,	27 ,	77 ,	183
	17111 ,	2078 ,	30 ,	5 ,	46 ,	9 ,	93 ,	183
	17111 ,	16566 ,	30 ,	5 ,	74 ,	59 ,	15 ,	183
	17173 ,	8028 ,	7 ,	15 ,	64 ,	34 ,	62 ,	182
	17173 ,	16026 ,	3 ,	52 ,	29 ,	23 ,	75 ,	182
	17173 ,	2005 ,	55 ,	13 ,	24 ,	52 ,	38 ,	182
	17173 ,	7987 ,	100 ,	0 ,	24 ,	6 ,	52 ,	182
	17173 ,	15785 ,	73 ,	11 ,	4 ,	10 ,	84 ,	182
	17173 ,	1968 ,	33 ,	22 ,	39 ,	9 ,	79 ,	182
	17173 ,	15446 ,	6 ,	10 ,	77 ,	44 ,	45 ,	182
	17173 ,	15421 ,	60 ,	5 ,	39 ,	43 ,	35 ,	182
	17173 ,	7691 ,	10 ,	73 ,	45 ,	51 ,	3 ,	182
	17173 ,	954 ,	6 ,	73 ,	39 ,	6 ,	58 ,	182
	17173 ,	15179 ,	20 ,	51 ,	24 ,	47 ,	40 ,	182
	17173 ,	3746 ,	11 ,	77 ,	11 ,	42 ,	41 ,	182
	17173 ,	7359 ,	45 ,	28 ,	5 ,	60 ,	44 ,	182
	17173 ,	7280 ,	6 ,	43 ,	32 ,	31 ,	70 ,	182
	17173 ,	6835 ,	36 ,	71 ,	25 ,	45 ,	5 ,	182
	17173 ,	855 ,	27 ,	88 ,	41 ,	24 ,	2 ,	182
	17173 ,	13561 ,	18 ,	88 ,	0 ,	5 ,	71 ,	182
	17173 ,	845 ,	88 ,	15 ,	18 ,	45 ,	16 ,	182
	17173 ,	13498 ,	23 ,	29 ,	69 ,	15 ,	46 ,	182
	17173 ,	13484 ,	68 ,	4 ,	13 ,	26 ,	71 ,	182
	17173 ,	6708 ,	63 ,	28 ,	29 ,	24 ,	38 ,	182
	17173 ,	13011 ,	53 ,	45 ,	15 ,	32 ,	37 ,	182
	17173 ,	6436 ,	9 ,	5 ,	51 ,	35 ,	82 ,	182
	17173 ,	6402 ,	56 ,	21 ,	32 ,	11 ,	62 ,	182
	17173 ,	12605 ,	7 ,	25 ,	22 ,	58 ,	70 ,	182
	17173 ,	12256 ,	20 ,	49 ,	45 ,	60 ,	8 ,	182
	17173 ,	2953 ,	56 ,	15 ,	49 ,	35 ,	27 ,	182
	17173 ,	11793 ,	35 ,	5 ,	7 ,	35 ,	100 ,	182
	17173 ,	11786 ,	46 ,	58 ,	20 ,	34 ,	24 ,	182
	17173 ,	11667 ,	78 ,	65 ,	3 ,	10 ,	26 ,	182
	17173 ,	5787 ,	0 ,	11 ,	25 ,	81 ,	65 ,	182
	17173 ,	11129 ,	63 ,	7 ,	31 ,	21 ,	60 ,	182
	17173 ,	11122 ,	29 ,	86 ,	46 ,	0 ,	21 ,	182
	17173 ,	10879 ,	51 ,	14 ,	34 ,	30 ,	53 ,	182
	17173 ,	5375 ,	5 ,	14 ,	24 ,	64 ,	75 ,	182
	17173 ,	2687 ,	59 ,	20 ,	17 ,	31 ,	55 ,	182
	17173 ,	2683 ,	32 ,	26 ,	51 ,	58 ,	15 ,	182
	17173 ,	10362 ,	43 ,	8 ,	41 ,	5 ,	85 ,	182
	17173 ,	10345 ,	5 ,	3 ,	77 ,	84 ,	13 ,	182
	17173 ,	10313 ,	24 ,	7 ,	67 ,	69 ,	15 ,	182
	17173 ,	10160 ,	58 ,	25 ,	22 ,	17 ,	60 ,	182
	17173 ,	10141 ,	4 ,	36 ,	36 ,	10 ,	96 ,	182
	17173 ,	9991 ,	50 ,	59 ,	51 ,	9 ,	13 ,	182
	17173 ,	19945 ,	88 ,	5 ,	76 ,	6 ,	7 ,	182
	17173 ,	617 ,	19 ,	42 ,	34 ,	67 ,	20 ,	182
	17173 ,	4945 ,	7 ,	60 ,	92 ,	7 ,	16 ,	182
	17173 ,	4880 ,	53 ,	33 ,	29 ,	67 ,	0 ,	182
	17173 ,	9591 ,	69 ,	12 ,	41 ,	55 ,	5 ,	182
	17173 ,	19070 ,	30 ,	38 ,	92 ,	16 ,	6 ,	182
	17173 ,	9496 ,	53 ,	48 ,	23 ,	7 ,	51 ,	182
	17173 ,	4742 ,	21 ,	35 ,	81 ,	21 ,	24 ,	182
	17173 ,	2367 ,	46 ,	3 ,	34 ,	80 ,	19 ,	182
	17173 ,	1170 ,	26 ,	54 ,	17 ,	44 ,	41 ,	182
	17173 ,	1149 ,	5 ,	22 ,	21 ,	87 ,	47 ,	182
	17173 ,	4586 ,	29 ,	21 ,	62 ,	42 ,	28 ,	182
